title,content,date,source,sentiment,event,credibility_score
US consumer discretionary index hits 20-year low relative to S&P 500 as investors chase AI instead,"The shift towards AI investments highlights market fragility, as reliance on tech growth could exacerbate volatility if consumer sectors falter.
The post US consumer discretionary index hits 20-year low relative to S&P 500 as investors chase AI instead appear…",2026-05-26T02:18:17Z,Yahoo Finance,0.128,General,0.85
Silvercorp Files Listing Application with the Hong Kong Stock Exchange,"Trading Symbol: TSX/NYSE American: SVM VANCOUVER, BC, May 25, 2026 /PRNewswire/ - Silvercorp Metals Inc. (""Silvercorp"" or the ""Company"") (TSX: SVM) (NYSE American: SVM) is pleased to announce that the Company has filed an application (the ""Listing Application…",2026-05-26T02:11:00Z,Yahoo Finance,0.4404,General,0.85
Dangote faces price war as NNPC backs fuel imports,"Dangote Refinery faces a price war as NNPC backs fuel imports, warning against monopoly control and high prices. Learn more about the court battle.

Read More: https://punchng.com/dangote-faces-price-war-as-nnpc-backs-fuel-imports/",2026-05-26T02:10:47Z,Yahoo Finance,-0.8442,General,0.85
Useful money: RBI's ₹2.9 trillion surplus transfer to the government struck a delicate balance,The Reserve Bank of India's record payout to the central government adds to the economy’s cushion. Minimal fiscal slippage would suit its own policy ends too. But weak capital flows could yet cloud the risk horizon.,2026-05-26T02:00:20Z,Yahoo Finance,-0.7579,General,0.85
Indonesia sets up new SOE industrial estate holding,"Indonesia has established a new holding company, Kawasan Industri Indonesia, to consolidate state-owned industrial estate management under sovereign wealth ...",2026-05-26T01:26:03Z,Yahoo Finance,0.4939,General,0.85
"Meridian Holdings Announces Dejan “Pet” Petković, Brazilian Football Legend, as Global Brand Ambassador","Meridian Holdings (NASDAQ: MRDN) names Dejan ""Pet"" Petković, Brazilian football legend, as Global Brand Ambassador. Partnership includes launch of Pet TV....",2026-05-26T00:50:00Z,Yahoo Finance,0.0,General,0.85
BMIP is India’s sovereign shield against maritime risks: GIC Re's Joshi,"Global reinsurers have a track record of issuing cancellation notices for war-risk covers during conflict zones, leading to sudden unavailability of cover or sharp spikes in premiums. This creates serious risks for India, one of the world’s largest crude oil …",2026-05-26T00:30:58Z,Yahoo Finance,-0.7206,General,0.85
Wilmar International chief says India must target 60% self-sufficiency in edible oils,"India needs to produce more edible oils domestically. Kuok Khoon Hong, chairman of Wilmar International, suggests aiming for 50-60% self-sufficiency. This move is crucial given India's vast consumption and current reliance on imports. Stable government polici…",2026-05-26T00:30:00Z,Yahoo Finance,0.296,General,0.85
Why 'shocks' send food prices up - but they never come down,"Price rises caused by 'major shocks' - such as the crisis in the Middle East and the El Nino weather pattern - tend to fall back down slowly and not always entirely, the analysis claims.",2026-05-26T00:19:07Z,Yahoo Finance,-0.7902,General,0.85
FG cancels $717m W’Bank power loan amid blackouts,"Nigeria’s Federal Government cancels $717m World Bank power loan, terminating a $1.52bn program due to sector challenges and inability to meet reform miles

Read More: https://punchng.com/fg-cancels-717m-wbank-power-loan-amid-blackouts/",2026-05-26T00:09:58Z,Yahoo Finance,-0.5106,General,0.85
Misleading pricing among potential law breaches found at tourist hotspot shops by watchdog,"Dublin’s Temple Bar, Dingle and Kenmare in Kerry and Tramore in Waterford among the locations visited by CCPC inspectors",2026-05-26T00:01:00Z,Yahoo Finance,0.0,General,0.85
"INEC appeals ruling voiding primaries, registration deadlines","INEC has filed an appeal challenging a Federal High Court judgment that nullified parts of its 2027 election guidelines, including primaries and registrati

Read More: https://punchng.com/inec-appeals-ruling-voiding-primaries-registration-deadlines/",2026-05-25T23:54:51Z,Yahoo Finance,0.1531,General,0.85
China’s Huawei unveils new sanctions-busting chip architecture that replaces Moore’s Law,Chinese electronics giant Huawei Technologies Co. Ltd. today unveiled a new chip design framework that it says will help it to close the gap in the semiconductor industry with global leaders like Taiwan Semiconductor Manufacturing Co. and Nvidia Corp. The com…,2026-05-25T23:35:16Z,Yahoo Finance,0.6369,General,0.85
ORVANA PROVIDES UPDATE ON TRANSPORT AND LOGISTICS DISRUPTIONS IN BOLIVIA AND IMPACT ON THE DON MARIO OXIDE STOCKPILE PROJECT,"TSX: ORV OTCQX: ORVMF #14-2026 TORONTO, May 25, 2026 /PRNewswire/ - Orvana Minerals Corp. (TSX: ORV) (OTCQX: ORVMF) (""Orvana"" or the ""Company"") is issuing this news release to update shareholders and the market on ongoing transport and logistics disruptions i…",2026-05-25T23:30:00Z,Yahoo Finance,-0.34,General,0.85
Refined Energy Corp. Announces Director Resignation,"VANCOUVER, British Columbia, May 25, 2026 (GLOBE NEWSWIRE) — Refined Energy Corp. (CSE: RUU) (OTC: RRUUF) (FSE: CWA0) (“Refined” or the “Company”) announces that Mr. Ken Wheatley has resigned from the Board of Directors of the Company effective immediately, p…",2026-05-25T23:21:02Z,Yahoo Finance,0.4939,General,0.85
Japan Scrambles to Reshape Energy Imports,"The arrival of the crude oil tanker Idemitsu Maru at Nagoya Port on May 25th marked the end of a weeks-long ordeal caused by the closure of the Strait of Hormuz, while also highlighting how dramatically Japan's oil procurement system has changed amid escalati…",2026-05-25T23:10:54Z,Yahoo Finance,-0.5719,General,0.85
"This Contemporary Farm Stay Blends Rammed Earth, Art, and Valley Views","Set within the rolling landscape of Mudgee, NSW, Sapling at Rosby introduces a contemporary farm stay experience shaped by art, wine, and the long history of a working rural property. Designed by Cameron Anderson Architects, the building sits alongside a coll…",2026-05-25T23:04:05Z,Yahoo Finance,0.0,General,0.85
India Cuts Fuel Demand Growth Projections By 40% Amid Austerity DriveIndia Cuts,"India’s refined petroleum demand growth forecast has received a major downgrade, with rising crude oil import costs, a weaker rupee and government-led austerity and conservation measures expected to dramatically cut oil demand. According to Kpler, India’s ref…",2026-05-25T23:00:00Z,Yahoo Finance,-0.7964,General,0.85
SC accepts RIL's fresh request to settle gas row with Centre,"India News: NEW DELHI: SC on Monday accepted a fresh request from Reliance Industries Ltd, which questioned govt's $2.81 billion demand for alleged pilferage of n.",2026-05-25T22:31:41Z,Yahoo Finance,0.3612,General,0.85
B2Gold Releases its Tenth Annual Responsible Mining Report and its Fifth Annual Climate Strategy Report,"VANCOUVER, British Columbia, May 25, 2026 (GLOBE NEWSWIRE) — B2Gold Corp. (TSX: BTO) (NYSE AMERICAN: BTG) (NSX: B2G) (“B2Gold” or the “Company”) is pleased to announce that it has published its tenth annual Responsible Mining Report entitled “Raising the Bar”…",2026-05-25T22:30:09Z,Yahoo Finance,0.743,General,0.85
Sabio Announces First Quarter 2026 Results,"Consolidated gross revenues1 of $8.2 million (IFRS revenue of $7.2 million) in Q1 2026, with core business revenues2 growing 6% year-over-year excluding political and advocacy spend International and programmatic channels represented 62% of Q1 2026 revenue mi…",2026-05-25T21:50:00Z,Yahoo Finance,-0.34,General,0.85
Hyperliquid sees $2.5B open interest as demand for tokenized equities surges,"The surge in tokenized equities highlights a shift in investment focus, but reliance on a single project poses significant ecosystem risks.
The post Hyperliquid sees $2.5B open interest as demand for tokenized equities surges appeared first on Crypto Briefing.",2026-05-25T21:45:30Z,Yahoo Finance,0.4215,General,0.85
"News of the day: Canada’s slumping auto industry, market warning signs, Tim Hortons hiring local, Bank of Canada in no rate cut rush, cottage country buyers and more","It’s Monday, May 25. Here are the top stories we’re following today.",2026-05-25T21:32:33Z,Yahoo Finance,0.2023,General,0.85
Avalanche 2026 Upgrade: What It Means for AVAX Network Performance and Adoption,"For users researching what is Avalanche9000 upgrade explained, the release altered Avalanche’s scaling model by replacing subnets with sovereign Layer-1 networks. Avalanche9000 / Etna Upgrade...
The post Avalanche 2026 Upgrade: What It Means for AVAX Network …",2026-05-25T21:22:07Z,Yahoo Finance,0.0,General,0.85
Imperial Announces Normal Course Issuer Bid,"VANCOUVER, British Columbia, May 25, 2026 (GLOBE NEWSWIRE) — Imperial Metals Corporation (“Imperial” or the “Company”) (TSX:III) announces the Toronto Stock Exchange (the “TSX”) has accepted the Company’s Notice of Intention to make a Normal Course Issuer Bid…",2026-05-25T21:13:44Z,Yahoo Finance,0.2732,General,0.85
BULGOLD Announces Annual General and Special Meeting Voting Results,"TORONTO, May 25, 2026 (GLOBE NEWSWIRE) — BULGOLD Inc. (TSXV: ZLTO) (the “Company” or “BULGOLD”) is pleased to announce the voting results from its Annual General and Special Meeting of the holders (“Shareholders”) of common shares of the Company that was held…",2026-05-25T21:03:47Z,Yahoo Finance,0.7783,General,0.85
"MINILUXE REPORTS FIRST QUARTER FINANCIAL RESULTS FOR THE 13 WEEKS ENDED MARCH 29, 2026","Company Announces Strong Start to 2026 with +8% System Revenue Growth, +5% Gross Profit, Gross Margin Expansion to 42%, and SG&A Discipline in Q1 2026 Company Announces Strong Start to 2026 with +8% System Revenue Growth, +5% Gross Profit, Gross Margin Expans…",2026-05-25T21:01:00Z,Yahoo Finance,0.6369,Earnings,0.85
Searching for Solidarity at the Train Station,"Sara Krolewski



Mattia Filice’s Driver, a poetic novel about train conductors in France, offers an empathetic vision of working for the public. 




The post Searching for Solidarity at the Train Station appeared first on The Nation.",2026-05-25T21:00:00Z,Yahoo Finance,0.802,General,0.85
Alaska Oil Revival Sparks New Energy Rush Into Arctic,Alaska has seen a resurgence of oil industry interest.,2026-05-25T21:00:00Z,Yahoo Finance,0.4588,General,0.85
Aston Villa Chase €40m Serie A Player: Do The Birmingham Club Need Him?,"Aston Villa are firmly monitoring Jonathan Rowe’s progress at Bologna this summer, with French journalist Sébastien Vidal confirming that Unai Emery himself has identified the 23-year-old winger as...",2026-05-25T20:35:00Z,Yahoo Finance,0.4215,General,0.85
G2 Goldfields Announces Filing and Mailing of Meeting Materials in Connection With the Acquisition by G Mining Ventures and Spin-Out With G3 Goldfields,"TORONTO, May 25, 2026 (GLOBE NEWSWIRE) — G2 Goldfields Inc. (“G2” or the “Company”) (TSX:GTWO; OTCQX:GUYGF) is pleased to announce that it has filed the management information circular (the “Circular”) and related meeting materials (collectively, the “Meeting…",2026-05-25T20:33:05Z,Yahoo Finance,0.4404,General,0.85
Nigerias GDP grows by 3.89% in Q1 2026 NBS,The latest GDP figures show the services sector remained the strongest driver of economic activity in the first quarter of 2026.,2026-05-25T20:19:42Z,Yahoo Finance,0.4404,General,0.85
Bitcoin’s biggest buyer is now outpacing every miner on the planet combined,"Strategy's aggressive Bitcoin acquisition strategy could destabilize market dynamics, increasing volatility and investor risk exposure.
The post Bitcoin’s biggest buyer is now outpacing every miner on the planet combined appeared first on Crypto Briefing.",2026-05-25T20:19:24Z,Yahoo Finance,-0.1531,General,0.85
The Ferrari Luce Marks a New Era for Maranello,"Debuting in Rome, the all-electric four-door, five-seat sports car arrives as a fresh light with a radically simplified LoveFrom design anchored in Ferrari heritage Today Ferrari unveiled the Luce at the Vela …",2026-05-25T20:10:15Z,Yahoo Finance,0.3182,General,0.85
"Tim Hortons commits to hiring 10,000 local employees, scaling back on temporary foreign workers",The hiring spree comes as the coffee chain said Friday that 80 new store locations would be added across Canada this year — and as American chain Dunkin' plans a re-entrance into the Canadian market. Tim Hortons says the moves are part of a wider long-term in…,2026-05-25T20:09:32Z,Yahoo Finance,0.0,General,0.85
HISTORIC SLAVERY APOLOGY,Pope Leo XIV has made a historic apology for the role the Holy See played in legitimizing slavery. Leo’s own family history includes both enslaved people and slave owners. He delivered the apology in his first encyclical “Magnifica Humanitas” or Magnificent H…,2026-05-25T20:00:14Z,Yahoo Finance,-0.2023,General,0.85
AMD's Zen 7 'Grimlock' CPUs will reportedly utilize TSMC's 1.4nm 'A14' node and advanced packaging,"The company is also looking to integrate Powertech's FOPLP advanced packaging technology into the Zen 7 architecture, along with next-gen 3D V-Cache.Continue reading at TweakTown",2026-05-25T19:50:06Z,Yahoo Finance,0.25,General,0.85
Regenx Provides Update on OTC Markets Trading Status and Audit Progress,"EDMONTON, Alberta, May 25, 2026 (GLOBE NEWSWIRE) — Regenx Tech Corp., (the “Company” or “Regenx“) (CSE: RGX) (OTCQB: RGXTF) (FSE: YRS WKN: A2DSW3) announces that effective May 18, 2026, the Company’s U.S. ticker symbol RGXTF was reassigned by OTC Markets Grou…",2026-05-25T19:37:12Z,Yahoo Finance,0.4767,General,0.85
Iran and US inch closer to frozen asset deal as Qatari mediation narrows gaps,"The potential deal could reshape geopolitical dynamics, impacting global financial markets and altering enforcement focus on sanctioned flows.
The post Iran and US inch closer to frozen asset deal as Qatari mediation narrows gaps appeared first on Crypto Brie…",2026-05-25T19:35:18Z,Yahoo Finance,0.5574,General,0.85
The Winter Energy Payment is buying less warmth each year – could there be a better long-term fix?,Govt top-ups help households to keep warm over winter. But rising power prices are creating an urgent need for longer-term energy solutions.,2026-05-25T19:34:06Z,Yahoo Finance,0.875,General,0.85
Community 'devastated' by plans for gas-powered data centres,More than 200 people voice their opposition to plans to build one of the country’s largest gas-fired power plants in the NSW Southern Highlands to provide energy for data centres.,2026-05-25T19:28:19Z,Yahoo Finance,0.2732,General,0.85
ONGC picks BP as tech partner for Western Offshore fields,"BP already has a similar arrangement for ONGC's flagship Mumbai High fields, but the latest move significantly expands its role, making it responsible for helping enhance output from fields that account for about 72% of ONGC's gas production and 60% of its oi…",2026-05-25T19:15:58Z,Yahoo Finance,0.7615,General,0.85
Dangerous in decline: The Islamic Republic’s desperate fight to survive,"Must rely on 'geopolitical extortion, proxy networks, domestic repression, and dependence on Eastern powers'",2026-05-25T19:15:38Z,Yahoo Finance,-0.3818,General,0.85
Philanthropy for scientific research is underused,"I often wonder why giving has so little to do with how much one has. A millionaire may hesitate to part with even a few thousand dollars for a person in need, while someone with only a modest savings may readily give away a meaningful share of it for a good c…",2026-05-25T19:00:17Z,Yahoo Finance,0.7717,General,0.85
"Tim Hortons says Temporary Foreign Worker program 'no longer necessary', turns to hiring locally",The restaurant chain has previously lobbied the government to expand the program.,2026-05-25T18:54:43Z,Yahoo Finance,0.3182,General,0.85
"African proverb of the day: 'Once you carry your own water, you’ll remember every...' - inspiring life lessons on why hard work makes you value everything more and why effort and struggle build strong character","African proverb of the day: Effort shapes our understanding of life's value. When we work hard, we remember every achievement. Things earned through struggle hold deeper meaning. This process builds discipline and resilience. It fosters gratitude and awarenes…",2026-05-25T18:37:56Z,Yahoo Finance,0.4588,General,0.85
The inverted geometry: Tracking the enterprise shift at Dell Technologies World 2026,"I spent five years inside Microsoft Corp.’s Windows business during an era when Dell Technologies Inc. was a top-volume partner. These two companies sold in lockstep. Every Dell personal computer shipped a Windows license, every enterprise agreement was reinf…",2026-05-25T18:36:28Z,Yahoo Finance,0.4939,General,0.85
Hyperliquid expands HIP-4 with validator governed outcome markets,"Hyperliquid expands HIP-4 with validator governed outcome markets for offchain events, reducing reliance on external oracles.
The post Hyperliquid expands HIP-4 with validator governed outcome markets appeared first on Crypto Briefing.",2026-05-25T18:13:49Z,Yahoo Finance,0.2023,General,0.85
"To Win With Money, Dave Ramsey Says, 'Figure Out What Most People Are Doing And Run In The Other Direction'",Personal finance personality Dave Ramsey has a simple message for people struggling financially: Stop copying what everyone else is doing. “HOW TO WIN WITH...,2026-05-25T18:01:19Z,Yahoo Finance,-0.0516,General,0.85
End of Day Message,"LONDON, 25 May. 2026 (GLOBE NEWSWIRE) -- This is the End of Day Message for GlobeNewswire.     GlobeNewswire is operated by Notified and is designated by...",2026-05-25T17:35:00Z,Yahoo Finance,0.0,General,0.85
Germany in Rapid Decline: Foreign Investment Plunges to 17-Year Low as Economic Model Falters,"Germany’s self-imposed economic decline is no longer a warning—it is now visible in hard data, as foreign investment collapses to its lowest level since the aftermath of the global financial crisis.
The post Germany in Rapid Decline: Foreign Investment Plunge…",2026-05-25T17:20:07Z,Yahoo Finance,-0.8885,General,0.85
"He's Making $100K, But Complains His Mom Didn't Pay Off His $65K Student Loans. Dave Ramsey Says 'She's A Dog. She Ain't Going To Climb A Tree'","A 26-year-old New York man says he feels hurt and misled after being left with $65,000 in student loan debt his mother once promised she would pay. The...",2026-05-25T17:01:05Z,Yahoo Finance,-0.5859,General,0.85
Budget 2026 to include more cuts and reprioritisations than sweeteners – Jenée Tibshraeny,ANALYSIS: Nicola Willis will try to prevent NZ's finances from worsening in the Budget.,2026-05-25T17:00:00Z,Yahoo Finance,-0.4404,General,0.85
Vitalik Buterin says Ethereum Foundation will narrow its role to protect Ethereum’s core ideals,"Vitalik Buterin says the Ethereum Foundation will narrow its role to focus on privacy, security, and decentralization.
The post Vitalik Buterin says Ethereum Foundation will narrow its role to protect Ethereum’s core ideals appeared first on Crypto Briefing.",2026-05-25T16:44:29Z,Yahoo Finance,0.7003,General,0.85
Harvard’s Grade Inflation Fix,Both conservatives and liberals have important insights—and blind spots—regarding the problems facing higher education today.,2026-05-25T16:34:16Z,Yahoo Finance,-0.5574,General,0.85
"Tim Hortons commits to 10,000 local hires, reducing temporary foreign workforce","Tim Hortons is planning to hire 10,000 new workers locally and reduce its reliance on the Temporary Foreign Worker Program. Find out more.",2026-05-25T16:19:32Z,Yahoo Finance,0.0,General,0.85
Vitalik Buterin Signals Shift to 'Smaller Ship' at Ethereum Foundation Amid Departures,Buterin revealed that 90% of his net worth is tied up in Ethereum.,2026-05-25T16:01:05Z,Yahoo Finance,0.2263,General,0.85
"‘Backrooms’ Creator Kane Parsons On Becoming A24’s Youngest Director Ever, Adapting His YouTube Series: “A Weird Dream Come True”","Born in 2005, the year YouTube launched, Backrooms director Kane Parsons has “always taken that for granted,” having the platform at his disposal. “YouTube, really more than just being a cultural reference for me, has been how I know how to do any of the stuf…",2026-05-25T16:00:00Z,Yahoo Finance,0.3612,General,0.85
Star Wars spinoff Mandalorian And Grogu featuring Pedro Pascal hits new low after terrible reviews,"With the Pedro Pascal-led feature earning $82 million in its opening weekend, it's the worst Star Wars opening since Disney acquired it in 2012.",2026-05-25T15:52:18Z,Yahoo Finance,-0.8271,General,0.85
Train bomb in Pakistan’s Baloch region: Why violence is on the rise,Deadly blast in Pakistan marks uptick in Balochistan separatist violence.,2026-05-25T15:43:21Z,Yahoo Finance,-0.6249,General,0.85
India’s AI options are linked to energy costs,"India’s position reflects ambition and constraint. Amidst rising data centre goals, power availability in States becomes crucial",2026-05-25T15:37:09Z,Yahoo Finance,0.0,General,0.85
"Dave Ramsey Says $1 Million Nest Egg Should Give You $80,000 Income 'Forever' — But 'Bogus Math' Claiming 4% Withdrawal Steals Hope","Retirement math has somehow become the internet's favorite bar fight. One side says people need $8 million, a bunker and canned beans to survive retirement. ...",2026-05-25T15:01:10Z,Yahoo Finance,0.1027,General,0.85
XRP Volatility Extends Through the End of 2026 as More Investors Turn to AI Trading Bots; AIX Alpha Launches Free AI Trading Platform for New Users,AIX Alpha launches a new free trading system designed to help users navigate fast-moving cryptocurrency markets through structured execution and real-time market monitoring. AIX Alpha launches a new free trading system designed to help users navigate fast-mov…,2026-05-25T15:00:00Z,Yahoo Finance,0.9001,General,0.85
Metronet Internet Down? Outage Hits Customers on Memorial Day as Reports Spike Across Service Areas,"Metronet experienced scattered outages on Memorial Day, affecting customers in the Midwest. The disruptions, linked to maintenance and technical issues, highlighted the challenges of maintaining reliable internet service.",2026-05-25T14:59:22Z,Yahoo Finance,-0.2732,General,0.85
"SC rules exxsol hexane a pure hydrocarbon, duty cut to 2.5%","The Supreme Court has ruled that exxsol hexane is a pure hydrocarbon. This decision means imported exxsol hexane will attract a lower customs duty of 2.5 percent. Previously, customs officials wanted it classified as motor spirit, which carried a 10 percent d…",2026-05-25T14:55:44Z,Yahoo Finance,0.6808,General,0.85
"Dhanbad Hospital Oxygen Plant Restored After Technical Glitch, Two Others Await Repair","Dhanbad's only functional oxygen plant at SNMMCH is now operational after repairs, following a four-day shutdown that led to reliance on cylinders. While two other plants remain non-functional, the hospital superintendent denied any deaths due to oxygen short…",2026-05-25T14:45:53Z,Yahoo Finance,-0.4404,General,0.85
Lawful Interception Market Surges to $24.60 billion by 2032 | CAGR 20.1%,"Delray Beach, FL, May 25, 2026 (GLOBE NEWSWIRE) -- According to MarketsandMarkets™, the Lawful Interception Market is projected to grow from USD 8.20 billion in 2026 to USD 24.60 billion by 2032, at a CAGR of 20.1% over the forecast period.",2026-05-25T14:30:00Z,Yahoo Finance,0.0,General,0.85
The Cost of Safetyism,What we lost when we stopped letting kids leave the front yard.,2026-05-25T14:29:52Z,Yahoo Finance,-0.5267,General,0.85
NIFTY 50 rallies as IT and Banking sectors record robust quarterly revenue growth.,NIFTY 50 rallies as IT and Banking sectors record robust quarterly revenue growth.,2026-08-09T15:55:28.367805+00:00,Economic Times,0.5,Earnings,0.9
Reliance Industries expands 5G infrastructure telecom footprint across India.,Reliance Industries expands 5G infrastructure telecom footprint across India.,2026-08-09T15:55:28.367807+00:00,Moneycontrol,0.5,Product Launch,0.88
Tata Motors reports record EV sales momentum and margin expansion.,Tata Motors reports record EV sales momentum and margin expansion.,2026-08-09T15:55:28.367812+00:00,Business Standard,0.5,Earnings,0.88
"RBI keeps repo rate unchanged, boosting market sentiment across banking equities.","RBI keeps repo rate unchanged, boosting market sentiment across banking equities.",2026-08-09T15:55:28.367814+00:00,Mint,0.5,Government Policy,0.86
